,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2016,1,1,0,-6.5,2.4,-9.5,1.7,80,9.6,988.7,1.5,1.2,0.4,0,0
1,2016,1,1,1,-6.1,2.4,-8.8,1.7,82,9.8,990.2,1.5,1.1,0.4,0,0
2,2016,1,1,2,-5.7,2.4,-8.0,1.7,84,10.1,991.6,1.5,1.0,0.4,0,0
3,2016,1,1,3,-5.2,2.4,-7.3,1.7,86,10.3,993.1,1.5,0.9,0.3,0,0
4,2016,1,1,4,-4.8,2.4,-6.6,1.7,87,10.4,994.6,1.5,0.8,0.3,0,0
5,2016,1,1,5,-4.3,2.4,-5.8,1.7,89,10.7,996.0,1.5,0.7,0.3,0,0
6,2016,1,1,6,-3.9,2.4,-5.1,1.7,91,10.9,997.5,1.5,0.6,0.2,0,0
7,2016,1,1,7,-4.0,2.4,-5.2,1.7,91,10.9,997.7,1.5,0.5,0.2,0,0
8,2016,1,1,8,-4.0,2.4,-5.3,1.7,91,10.9,997.7,1.5,0.4,0.1,0,0
9,2016,1,1,9,-3.2,2.4,-5.6,1.7,83,10.0,997.8,1.5,0.5,0.2,54,4
10,2016,1,1,10,-1.0,2.4,-6.2,1.7,68,8.2,997.9,1.5,0.9,0.3,137,10
11,2016,1,1,11,0.7,2.4,-5.4,1.7,64,7.7,997.6,1.5,1.4,0.5,207,14
12,2016,1,1,12,1.8,2.4,-5.4,1.7,59,7.1,997.0,1.5,2.4,0.9,183,13
13,2016,1,1,13,2.4,2.4,-5.3,1.7,57,6.8,995.7,1.5,2.4,0.9,477,33
14,2016,1,1,14,2.8,2.4,-4.8,1.7,57,6.8,995.1,1.5,2.7,1.0,336,24
15,2016,1,1,15,2.7,2.4,-4.2,1.7,60,7.2,994.7,1.5,2.7,1.0,159,11
16,2016,1,1,16,1.9,2.4,-4.1,1.7,64,7.7,994.1,1.5,2.4,0.9,85,6
17,2016,1,1,17,1.1,2.4,-3.6,1.7,71,8.5,994.2,1.5,1.8,0.7,14,1
18,2016,1,1,18,0.3,2.4,-3.4,1.7,76,9.1,994.2,1.5,1.5,0.6,10,1
19,2016,1,1,19,-0.2,2.4,-3.3,1.7,80,9.6,994.1,1.5,1.5,0.6,10,1
20,2016,1,1,20,-0.5,2.4,-3.2,1.7,82,9.8,993.8,1.5,1.5,0.6,0,0
21,2016,1,1,21,-0.7,2.4,-3.1,1.7,84,10.1,993.7,1.5,1.5,0.6,0,0
22,2016,1,1,22,-0.7,2.4,-2.9,1.7,85,10.2,993.2,1.5,1.6,0.6,0,0
23,2016,1,1,23,-0.6,2.4,-2.7,1.7,86,10.3,992.7,1.5,1.7,0.6,0,0
24,2016,1,2,0,-0.6,2.4,-2.4,1.7,88,10.6,992.5,1.5,1.7,0.6,0,0
25,2016,1,2,1,-0.5,2.4,-2.1,1.7,89,10.7,992.0,1.5,1.7,0.6,0,0
26,2016,1,2,2,-0.5,2.4,-1.9,1.7,90,10.8,991.7,1.5,1.7,0.6,0,0
27,2016,1,2,3,-0.6,2.4,-1.7,1.7,92,11.0,991.4,1.5,1.7,0.6,0,0
28,2016,1,2,4,-0.3,2.4,-1.8,1.7,90,10.8,990.9,1.5,1.6,0.6,0,0
29,2016,1,2,5,-0.9,2.4,-2.0,1.7,92,11.0,990.2,1.5,1.6,0.6,0,0
30,2016,1,2,6,-0.7,2.4,-1.6,1.7,94,11.3,990.0,1.5,1.6,0.6,0,0
31,2016,1,2,7,-0.4,2.4,-1.3,1.7,94,11.3,989.8,1.5,1.7,0.6,10,1
32,2016,1,2,8,-0.2,2.4,-0.9,1.7,95,11.4,989.5,1.5,1.7,0.6,1,0
33,2016,1,2,9,0.7,2.4,-0.1,1.7,94,11.3,989.6,1.5,1.5,0.6,22,2
34,2016,1,2,10,2.4,2.4,0.6,1.7,88,10.6,989.9,1.5,1.8,0.7,11,1
35,2016,1,2,11,3.9,2.4,1.3,1.7,83,10.0,989.8,1.5,2.2,0.8,95,7
36,2016,1,2,12,5.4,2.4,2.2,1.7,80,9.6,989.1,1.5,3.2,1.2,85,6
37,2016,1,2,13,6.2,2.4,2.9,1.7,79,9.5,987.8,1.5,3.4,1.3,45,3
38,2016,1,2,14,7.2,2.4,2.2,1.7,71,8.5,987.1,1.5,3.9,1.4,99,7
39,2016,1,2,15,7.7,2.4,2.1,1.7,68,8.2,986.6,1.5,3.6,1.3,179,13
40,2016,1,2,16,7.0,2.4,1.8,1.7,69,8.3,986.8,1.5,3.0,1.1,120,8
41,2016,1,2,17,6.2,2.4,2.5,1.7,77,9.2,986.5,1.5,2.4,0.9,17,1
42,2016,1,2,18,4.7,2.4,2.8,1.7,87,10.4,986.6,1.5,1.9,0.7,10,1
43,2016,1,2,19,3.3,2.4,2.4,1.7,94,11.3,986.7,1.5,1.6,0.6,10,1
44,2016,1,2,20,2.5,2.4,1.9,1.7,96,11.5,986.6,1.5,1.4,0.5,0,0
45,2016,1,2,21,2.6,2.4,2.1,1.7,97,11.6,986.7,1.5,1.3,0.5,0,0
46,2016,1,2,22,2.6,2.4,2.3,1.7,98,11.8,986.5,1.5,1.2,0.4,0,0
47,2016,1,2,23,2.5,2.4,2.3,1.7,99,11.9,986.4,1.5,1.2,0.4,0,0
48,2016,1,3,0,2.7,2.4,2.5,1.7,99,11.9,986.3,1.5,1.1,0.4,0,0
49,2016,1,3,1,2.8,2.4,2.6,1.7,99,11.9,985.8,1.5,1.0,0.4,0,0
50,2016,1,3,2,2.7,2.4,2.6,1.7,99,11.9,985.7,1.5,1.0,0.4,0,0
51,2016,1,3,3,2.6,2.4,2.6,1.7,100,12.0,985.6,1.5,1.0,0.4,0,0
52,2016,1,3,4,2.4,2.4,2.3,1.7,99,11.9,985.3,1.5,1.0,0.4,0,0
53,2016,1,3,5,2.3,2.4,2.3,1.7,100,12.0,985.1,1.5,1.0,0.4,0,0
54,2016,1,3,6,2.5,2.4,2.4,1.7,99,11.9,985.3,1.5,0.9,0.3,0,0
55,2016,1,3,7,2.7,2.4,2.6,1.7,99,11.9,985.6,1.5,0.7,0.3,10,1
56,2016,1,3,8,3.2,2.4,3.2,1.7,100,12.0,985.8,1.5,0.6,0.2,1,0
57,2016,1,3,9,3.5,2.4,3.4,1.7,99,11.9,986.0,1.5,0.5,0.2,74,5
58,2016,1,3,10,3.7,2.4,3.6,1.7,99,11.9,986.2,1.5,0.8,0.3,95,7
59,2016,1,3,11,4.4,2.4,3.1,1.7,91,10.9,986.3,1.5,1.2,0.4,139,10
60,2016,1,3,12,4.7,2.4,2.6,1.7,86,10.3,986.0,1.5,1.5,0.6,282,20
61,2016,1,3,13,5.3,2.4,2.5,1.7,82,9.8,985.0,1.5,1.7,0.6,329,23
62,2016,1,3,14,5.7,2.4,2.3,1.7,79,9.5,984.7,1.5,1.9,0.7,166,12
63,2016,1,3,15,5.8,2.4,2.2,1.7,78,9.4,984.6,1.5,2.1,0.8,230,16
64,2016,1,3,16,6.5,2.4,1.5,1.7,70,8.4,984.1,1.5,2.0,0.7,151,11
65,2016,1,3,17,5.8,2.4,1.7,1.7,75,9.0,984.3,1.5,1.3,0.5,31,2
66,2016,1,3,18,4.1,2.4,1.7,1.7,84,10.1,984.4,1.5,1.3,0.5,10,1
67,2016,1,3,19,2.4,2.4,0.9,1.7,90,10.8,985.0,1.5,1.4,0.5,10,1
68,2016,1,3,20,1.5,2.4,0.2,1.7,91,10.9,985.3,1.5,1.4,0.5,0,0
69,2016,1,3,21,1.1,2.4,0.1,1.7,93,11.2,985.5,1.5,1.3,0.5,0,0
70,2016,1,3,22,0.8,2.4,0.2,1.7,96,11.5,985.5,1.5,1.2,0.4,0,0
71,2016,1,3,23,0.4,2.4,0.1,1.7,98,11.8,985.5,1.5,1.2,0.4,0,0
72,2016,1,4,0,0.2,2.4,0.0,1.7,99,11.9,985.4,1.5,1.4,0.5,0,0
73,2016,1,4,1,0.2,2.4,0.1,1.7,99,11.9,985.2,1.5,1.5,0.6,0,0
74,2016,1,4,2,0.2,2.4,0.1,1.7,99,11.9,985.5,1.5,1.6,0.6,0,0
75,2016,1,4,3,-0.1,2.4,-0.2,1.7,99,11.9,985.5,1.5,1.6,0.6,0,0
76,2016,1,4,4,0.3,2.4,-0.2,1.7,96,11.5,985.5,1.5,1.9,0.7,0,0
77,2016,1,4,5,-0.4,2.4,-0.9,1.7,96,11.5,985.8,1.5,1.9,0.7,0,0
78,2016,1,4,6,-1.2,2.4,-1.9,1.7,95,11.4,986.3,1.5,1.8,0.7,0,0
79,2016,1,4,7,-1.8,2.4,-2.9,1.7,92,11.0,987.0,1.5,1.7,0.6,10,1
80,2016,1,4,8,-2.1,2.4,-4.0,1.7,87,10.4,987.6,1.5,1.7,0.6,15,1
81,2016,1,4,9,-1.5,2.4,-5.1,1.7,76,9.1,988.2,1.5,1.9,0.7,143,10
82,2016,1,4,10,-0.3,2.4,-6.4,1.7,63,7.6,988.7,1.5,2.3,0.9,292,20
83,2016,1,4,11,0.8,2.4,-6.9,1.7,56,6.7,988.9,1.5,2.7,1.0,409,29
84,2016,1,4,12,1.8,2.4,-7.8,1.7,49,5.9,988.5,1.5,3.1,1.1,474,33
85,2016,1,4,13,2.4,2.4,-8.8,1.7,43,5.2,987.8,1.5,3.4,1.3,479,34
86,2016,1,4,14,2.5,2.4,-9.7,1.7,40,4.8,987.7,1.5,3.5,1.3,425,30
87,2016,1,4,15,2.2,2.4,-10.5,1.7,39,4.7,988.0,1.5,3.4,1.3,316,22
88,2016,1,4,16,1.6,2.4,-10.4,1.7,41,4.9,987.8,1.5,3.2,1.2,139,10
89,2016,1,4,17,0.5,2.4,-10.6,1.7,43,5.2,988.1,1.5,2.6,1.0,30,2
90,2016,1,4,18,-0.8,2.4,-10.9,1.7,46,5.5,988.5,1.5,2.4,0.9,10,1
91,2016,1,4,19,-1.7,2.4,-11.1,1.7,49,5.9,988.9,1.5,2.4,0.9,10,1
92,2016,1,4,20,-2.3,2.4,-11.5,1.7,49,5.9,989.6,1.5,2.4,0.9,0,0
93,2016,1,4,21,-2.9,2.4,-11.8,1.7,50,6.0,990.2,1.5,2.5,0.9,0,0
94,2016,1,4,22,-3.5,2.4,-12.1,1.7,51,6.1,990.7,1.5,2.6,1.0,0,0
95,2016,1,4,23,-3.9,2.4,-12.2,1.7,53,6.4,991.1,1.5,2.4,0.9,0,0
96,2016,1,5,0,-4.2,2.4,-12.6,1.7,52,6.2,991.2,1.5,2.3,0.9,0,0
97,2016,1,5,1,-4.4,2.4,-13.1,1.7,51,6.1,991.4,1.5,2.4,0.9,0,0
98,2016,1,5,2,-4.5,2.4,-13.7,1.7,49,5.9,991.6,1.5,2.4,0.9,0,0
99,2016,1,5,3,-4.7,2.4,-14.6,1.7,46,5.5,991.4,1.5,2.3,0.9,0,0
100,2016,1,5,4,-4.3,2.4,-15.3,1.7,42,5.0,990.8,1.5,2.2,0.8,0,0
101,2016,1,5,5,-4.5,2.4,-16.2,1.7,40,4.8,990.5,1.5,2.1,0.8,0,0
102,2016,1,5,6,-4.5,2.4,-17.3,1.7,36,4.3,990.4,1.5,2.1,0.8,0,0
103,2016,1,5,7,-4.5,2.4,-18.3,1.7,33,4.0,990.7,1.5,2.1,0.8,10,1
104,2016,1,5,8,-4.6,2.4,-18.8,1.7,32,3.8,991.2,1.5,2.2,0.8,16,1
105,2016,1,5,9,-4.3,2.4,-18.8,1.7,31,3.7,991.9,1.5,2.4,0.9,145,10
106,2016,1,5,10,-3.6,2.4,-18.6,1.7,30,3.6,992.0,1.5,2.6,1.0,229,16
107,2016,1,5,11,-2.7,2.4,-18.1,1.7,30,3.6,992.4,1.5,2.7,1.0,412,29
108,2016,1,5,12,-1.8,2.4,-17.6,1.7,29,3.5,992.2,1.5,2.8,1.0,478,33
109,2016,1,5,13,-1.1,2.4,-17.0,1.7,29,3.5,991.5,1.5,3.1,1.1,483,34
110,2016,1,5,14,-0.7,2.4,-16.4,1.7,29,3.5,990.9,1.5,3.2,1.2,0,0
111,2016,1,5,15,-0.7,2.4,-15.9,1.7,31,3.7,991.0,1.5,3.2,1.2,319,22
112,2016,1,5,16,-1.7,2.4,-15.8,1.7,33,4.0,990.9,1.5,2.9,1.1,173,12
113,2016,1,5,17,-2.4,2.4,-15.5,1.7,36,4.3,991.2,1.5,2.5,0.9,35,2
114,2016,1,5,18,-3.2,2.4,-15.3,1.7,39,4.7,991.8,1.5,2.5,0.9,10,1
115,2016,1,5,19,-3.7,2.4,-15.0,1.7,41,4.9,992.2,1.5,2.4,0.9,10,1
116,2016,1,5,20,-4.1,2.4,-14.8,1.7,43,5.2,992.5,1.5,2.3,0.9,0,0
117,2016,1,5,21,-4.4,2.4,-14.5,1.7,45,5.4,993.0,1.5,2.0,0.7,0,0
118,2016,1,5,22,-4.7,2.4,-14.3,1.7,47,5.6,993.1,1.5,1.8,0.7,0,0
119,2016,1,5,23,-5.0,2.4,-14.1,1.7,49,5.9,992.9,1.5,1.6,0.6,0,0
120,2016,1,6,0,-5.3,2.4,-12.0,1.7,59,7.1,992.4,1.5,1.1,0.4,0,0
121,2016,1,6,1,-5.1,2.4,-11.9,1.7,59,7.1,992.2,1.5,0.9,0.3,0,0
122,2016,1,6,2,-5.0,2.4,-11.8,1.7,59,7.1,992.1,1.5,1.0,0.4,0,0
123,2016,1,6,3,-5.0,2.4,-11.7,1.7,59,7.1,991.8,1.5,1.0,0.4,0,0
124,2016,1,6,4,-5.4,2.4,-12.8,1.7,56,6.7,991.3,1.5,1.0,0.4,0,0
125,2016,1,6,5,-5.5,2.4,-12.5,1.7,58,7.0,991.2,1.5,1.2,0.4,0,0
126,2016,1,6,6,-5.5,2.4,-12.2,1.7,59,7.1,991.1,1.5,1.2,0.4,0,0
127,2016,1,6,7,-5.2,2.4,-12.0,1.7,59,7.1,991.3,1.5,1.2,0.4,10,1
128,2016,1,6,8,-5.2,2.4,-11.8,1.7,60,7.2,991.5,1.5,1.2,0.4,1,0
129,2016,1,6,9,-4.3,2.4,-11.4,1.7,58,7.0,991.4,1.5,1.3,0.5,38,3
130,2016,1,6,10,-3.2,2.4,-10.5,1.7,57,6.8,991.5,1.5,1.7,0.6,79,6
131,2016,1,6,11,-1.9,2.4,-9.6,1.7,56,6.7,991.0,1.5,2.3,0.9,126,9
132,2016,1,6,12,-0.5,2.4,-9.6,1.7,50,6.0,990.4,1.5,3.4,1.3,200,14
133,2016,1,6,13,0.4,2.4,-9.6,1.7,47,5.6,989.2,1.5,3.5,1.3,260,18
134,2016,1,6,14,0.7,2.4,-8.7,1.7,49,5.9,988.5,1.5,3.4,1.3,377,26
135,2016,1,6,15,0.6,2.4,-8.2,1.7,52,6.2,988.2,1.5,3.4,1.3,202,14
136,2016,1,6,16,-0.2,2.4,-7.8,1.7,57,6.8,988.1,1.5,3.2,1.2,161,11
137,2016,1,6,17,-0.9,2.4,-7.4,1.7,61,7.3,988.1,1.5,2.5,0.9,32,2
138,2016,1,6,18,-1.6,2.4,-7.2,1.7,66,7.9,987.9,1.5,2.3,0.9,10,1
139,2016,1,6,19,-2.1,2.4,-7.1,1.7,69,8.3,988.2,1.5,2.2,0.8,10,1
140,2016,1,6,20,-2.5,2.4,-7.5,1.7,69,8.3,988.6,1.5,2.3,0.9,0,0
141,2016,1,6,21,-3.0,2.4,-8.3,1.7,67,8.0,988.6,1.5,2.2,0.8,0,0
142,2016,1,6,22,-3.6,2.4,-9.2,1.7,65,7.8,988.7,1.5,2.2,0.8,0,0
143,2016,1,6,23,-4.2,2.4,-10.1,1.7,63,7.6,988.8,1.5,2.3,0.9,0,0
144,2016,1,7,0,-4.7,2.4,-10.8,1.7,62,7.4,988.8,1.5,2.2,0.8,0,0
145,2016,1,7,1,-5.0,2.4,-11.0,1.7,63,7.6,989.0,1.5,2.1,0.8,0,0
146,2016,1,7,2,-5.2,2.4,-11.1,1.7,63,7.6,988.8,1.5,2.0,0.7,0,0
147,2016,1,7,3,-5.4,2.4,-11.2,1.7,64,7.7,988.8,1.5,2.0,0.7,0,0
148,2016,1,7,4,-5.4,2.4,-11.9,1.7,60,7.2,988.6,1.5,2.0,0.7,0,0
149,2016,1,7,5,-5.5,2.4,-12.3,1.7,59,7.1,988.8,1.5,2.1,0.8,0,0
150,2016,1,7,6,-5.6,2.4,-12.9,1.7,56,6.7,988.8,1.5,2.1,0.8,0,0
151,2016,1,7,7,-5.8,2.4,-13.7,1.7,54,6.5,989.0,1.5,2.1,0.8,10,1
152,2016,1,7,8,-6.1,2.4,-14.4,1.7,52,6.2,989.2,1.5,2.0,0.7,17,1
153,2016,1,7,9,-5.5,2.4,-15.0,1.7,47,5.6,989.3,1.5,2.1,0.8,150,10
154,2016,1,7,10,-4.4,2.4,-15.4,1.7,42,5.0,989.7,1.5,2.1,0.8,303,21
155,2016,1,7,11,-3.2,2.4,-15.9,1.7,37,4.4,989.4,1.5,2.2,0.8,423,30
156,2016,1,7,12,-2.0,2.4,-16.3,1.7,33,4.0,989.1,1.5,2.6,1.0,490,34
157,2016,1,7,13,-1.3,2.4,-16.5,1.7,30,3.6,988.2,1.5,2.9,1.1,497,35
158,2016,1,7,14,-0.9,2.4,-16.6,1.7,29,3.5,987.7,1.5,3.1,1.1,442,31
159,2016,1,7,15,-1.0,2.4,-16.6,1.7,30,3.6,987.5,1.5,3.1,1.1,332,23
160,2016,1,7,16,-1.6,2.4,-15.8,1.7,33,4.0,987.2,1.5,3.0,1.1,184,13
161,2016,1,7,17,-2.4,2.4,-15.7,1.7,35,4.2,987.8,1.5,2.7,1.0,40,3
162,2016,1,7,18,-3.2,2.4,-15.7,1.7,37,4.4,988.1,1.5,2.8,1.0,11,1
163,2016,1,7,19,-3.8,2.4,-15.7,1.7,39,4.7,988.3,1.5,2.6,1.0,11,1
164,2016,1,7,20,-4.4,2.4,-15.6,1.7,41,4.9,988.5,1.5,2.6,1.0,0,0
165,2016,1,7,21,-4.9,2.4,-15.4,1.7,44,5.3,988.3,1.5,2.5,0.9,0,0
166,2016,1,7,22,-5.3,2.4,-15.2,1.7,46,5.5,988.3,1.5,2.6,1.0,0,0
167,2016,1,7,23,-5.7,2.4,-14.7,1.7,49,5.9,988.1,1.5,2.5,0.9,0,0
168,2016,1,8,0,-5.9,2.4,-14.3,1.7,52,6.2,987.9,1.5,2.5,0.9,0,0
169,2016,1,8,1,-6.1,2.4,-14.0,1.7,54,6.5,987.5,1.5,2.5,0.9,0,0
170,2016,1,8,2,-6.2,2.4,-13.8,1.7,55,6.6,987.3,1.5,2.5,0.9,0,0
171,2016,1,8,3,-6.3,2.4,-13.7,1.7,56,6.7,987.2,1.5,2.5,0.9,0,0
172,2016,1,8,4,-6.3,2.4,-13.8,1.7,55,6.6,987.2,1.5,2.3,0.9,0,0
173,2016,1,8,5,-6.4,2.4,-13.8,1.7,56,6.7,986.8,1.5,2.2,0.8,0,0
174,2016,1,8,6,-6.4,2.4,-13.9,1.7,55,6.6,986.9,1.5,2.1,0.8,0,0
175,2016,1,8,7,-6.4,2.4,-14.0,1.7,55,6.6,987.0,1.5,2.0,0.7,11,1
176,2016,1,8,8,-6.4,2.4,-14.2,1.7,54,6.5,987.3,1.5,2.0,0.7,18,1
177,2016,1,8,9,-5.7,2.4,-15.0,1.7,48,5.8,987.8,1.5,2.4,0.9,149,10
178,2016,1,8,10,-4.5,2.4,-16.1,1.7,40,4.8,988.2,1.5,2.8,1.0,300,21
179,2016,1,8,11,-3.2,2.4,-17.0,1.7,34,4.1,988.1,1.5,3.1,1.1,420,29
180,2016,1,8,12,-2.0,2.4,-16.9,1.7,31,3.7,987.6,1.5,3.5,1.3,487,34
181,2016,1,8,13,-1.2,2.4,-15.9,1.7,32,3.8,986.7,1.5,3.7,1.4,494,35
182,2016,1,8,14,-0.7,2.4,-14.8,1.7,34,4.1,986.4,1.5,3.7,1.4,439,31
