,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2016,1,1,0,-4.7,2.4,-9.2,1.7,71,8.5,1000.4,1.5,1.9,0.7,0,0
1,2016,1,1,1,-4.3,2.4,-8.5,1.7,73,8.8,1001.8,1.5,1.7,0.6,0,0
2,2016,1,1,2,-3.8,2.4,-7.7,1.7,75,9.0,1003.3,1.5,1.5,0.6,0,0
3,2016,1,1,3,-3.4,2.4,-7.0,1.7,77,9.2,1004.7,1.5,1.3,0.5,0,0
4,2016,1,1,4,-3.0,2.4,-6.3,1.7,78,9.4,1006.2,1.5,1.0,0.4,0,0
5,2016,1,1,5,-2.5,2.4,-5.5,1.7,80,9.6,1007.6,1.5,0.8,0.3,0,0
6,2016,1,1,6,-2.1,2.4,-4.8,1.7,82,9.8,1009.1,1.5,0.6,0.2,0,0
7,2016,1,1,7,-1.9,2.4,-4.8,1.7,81,9.7,1009.3,1.5,0.4,0.1,0,0
8,2016,1,1,8,-1.9,2.4,-4.7,1.7,81,9.7,1009.3,1.5,0.5,0.2,0,0
9,2016,1,1,9,-1.7,2.4,-4.0,1.7,84,10.1,1009.4,1.5,0.3,0.1,79,6
10,2016,1,1,10,0.6,2.4,-4.0,1.7,71,8.5,1009.5,1.5,0.5,0.2,113,8
11,2016,1,1,11,2.0,2.4,-3.9,1.7,65,7.8,1009.4,1.5,1.3,0.5,314,22
12,2016,1,1,12,2.7,2.4,-4.1,1.7,61,7.3,1008.8,1.5,2.0,0.7,287,20
13,2016,1,1,13,3.2,2.4,-3.9,1.7,60,7.2,1007.5,1.5,2.1,0.8,186,13
14,2016,1,1,14,3.7,2.4,-3.5,1.7,59,7.1,1006.8,1.5,2.3,0.9,180,13
15,2016,1,1,15,3.8,2.4,-3.3,1.7,60,7.2,1006.3,1.5,2.3,0.9,174,12
16,2016,1,1,16,2.9,2.4,-3.4,1.7,63,7.6,1005.8,1.5,2.1,0.8,88,6
17,2016,1,1,17,1.9,2.4,-3.1,1.7,69,8.3,1005.8,1.5,1.4,0.5,1,0
18,2016,1,1,18,1.1,2.4,-2.8,1.7,75,9.0,1005.9,1.5,1.2,0.4,10,1
19,2016,1,1,19,0.2,2.4,-2.9,1.7,80,9.6,1006.0,1.5,1.1,0.4,10,1
20,2016,1,1,20,-0.2,2.4,-2.9,1.7,82,9.8,1005.7,1.5,1.4,0.5,0,0
21,2016,1,1,21,-0.2,2.4,-2.9,1.7,82,9.8,1005.6,1.5,1.5,0.6,0,0
22,2016,1,1,22,-0.3,2.4,-2.8,1.7,83,10.0,1005.2,1.5,1.6,0.6,0,0
23,2016,1,1,23,-0.1,2.4,-2.6,1.7,83,10.0,1004.8,1.5,1.7,0.6,0,0
24,2016,1,2,0,0.0,2.4,-2.4,1.7,84,10.1,1004.6,1.5,1.8,0.7,0,0
25,2016,1,2,1,0.1,2.4,-2.1,1.7,85,10.2,1004.0,1.5,1.9,0.7,0,0
26,2016,1,2,2,0.1,2.4,-1.7,1.7,88,10.6,1003.7,1.5,1.8,0.7,0,0
27,2016,1,2,3,0.3,2.4,-1.3,1.7,89,10.7,1003.4,1.5,1.8,0.7,0,0
28,2016,1,2,4,-0.0,2.4,-1.8,1.7,88,10.6,1002.8,1.5,1.7,0.6,0,0
29,2016,1,2,5,-0.1,2.4,-1.6,1.7,90,10.8,1002.2,1.5,1.7,0.6,0,0
30,2016,1,2,6,-0.0,2.4,-1.3,1.7,91,10.9,1002.0,1.5,1.7,0.6,0,0
31,2016,1,2,7,-0.6,2.4,-1.6,1.7,93,11.2,1001.9,1.5,1.8,0.7,10,1
32,2016,1,2,8,-0.5,2.4,-1.4,1.7,94,11.3,1001.6,1.5,1.9,0.7,1,0
33,2016,1,2,9,1.2,2.4,-0.1,1.7,91,10.9,1001.6,1.5,1.6,0.6,29,2
34,2016,1,2,10,3.8,2.4,0.8,1.7,81,9.7,1001.7,1.5,1.9,0.7,11,1
35,2016,1,2,11,5.7,2.4,1.9,1.7,77,9.2,1001.6,1.5,2.2,0.8,48,3
36,2016,1,2,12,7.3,2.4,2.9,1.7,74,8.9,1000.8,1.5,2.7,1.0,188,13
37,2016,1,2,13,8.4,2.4,3.1,1.7,69,8.3,999.5,1.5,3.9,1.4,354,25
38,2016,1,2,14,9.2,2.4,1.9,1.7,60,7.2,998.8,1.5,4.1,1.5,242,17
39,2016,1,2,15,9.4,2.4,1.8,1.7,59,7.1,998.2,1.5,3.9,1.4,195,14
40,2016,1,2,16,8.9,2.4,0.9,1.7,57,6.8,998.3,1.5,3.0,1.1,133,9
41,2016,1,2,17,7.7,2.4,1.5,1.7,65,7.8,998.0,1.5,2.1,0.8,33,2
42,2016,1,2,18,5.9,2.4,1.9,1.7,76,9.1,998.0,1.5,1.7,0.6,10,1
43,2016,1,2,19,4.4,2.4,1.6,1.7,82,9.8,998.0,1.5,1.7,0.6,10,1
44,2016,1,2,20,3.6,2.4,1.4,1.7,86,10.3,997.9,1.5,1.6,0.6,0,0
45,2016,1,2,21,3.2,2.4,1.5,1.7,89,10.7,998.0,1.5,1.5,0.6,0,0
46,2016,1,2,22,2.7,2.4,1.3,1.7,90,10.8,997.9,1.5,1.6,0.6,0,0
47,2016,1,2,23,2.7,2.4,1.6,1.7,92,11.0,997.7,1.5,1.6,0.6,0,0
48,2016,1,3,0,2.5,2.4,1.6,1.7,94,11.3,997.5,1.5,1.5,0.6,0,0
49,2016,1,3,1,2.9,2.4,2.1,1.7,94,11.3,997.2,1.5,1.4,0.5,0,0
50,2016,1,3,2,2.8,2.4,2.3,1.7,97,11.6,997.1,1.5,1.4,0.5,0,0
51,2016,1,3,3,3.0,2.4,2.6,1.7,97,11.6,996.9,1.5,1.3,0.5,0,0
52,2016,1,3,4,2.3,2.4,1.9,1.7,97,11.6,996.7,1.5,1.5,0.6,0,0
53,2016,1,3,5,2.8,2.4,2.5,1.7,98,11.8,996.4,1.5,1.3,0.5,0,0
54,2016,1,3,6,3.1,2.4,2.8,1.7,98,11.8,996.5,1.5,1.1,0.4,0,0
55,2016,1,3,7,3.3,2.4,3.0,1.7,98,11.8,996.8,1.5,1.0,0.4,10,1
56,2016,1,3,8,3.2,2.4,3.0,1.7,99,11.9,997.0,1.5,1.1,0.4,2,0
57,2016,1,3,9,3.8,2.4,3.7,1.7,99,11.9,997.3,1.5,0.9,0.3,86,6
58,2016,1,3,10,5.1,2.4,4.8,1.7,98,11.8,997.5,1.5,1.0,0.4,147,10
59,2016,1,3,11,5.7,2.4,4.0,1.7,89,10.7,997.6,1.5,1.2,0.4,209,15
60,2016,1,3,12,6.5,2.4,3.6,1.7,82,9.8,997.1,1.5,1.3,0.5,131,9
61,2016,1,3,13,7.4,2.4,3.3,1.7,75,9.0,996.0,1.5,1.4,0.5,375,26
62,2016,1,3,14,8.1,2.4,2.9,1.7,70,8.4,995.7,1.5,1.6,0.6,334,23
63,2016,1,3,15,8.4,2.4,2.6,1.7,67,8.0,995.4,1.5,1.6,0.6,314,22
64,2016,1,3,16,8.6,2.4,2.5,1.7,66,7.9,995.0,1.5,1.6,0.6,169,12
65,2016,1,3,17,7.7,2.4,2.9,1.7,72,8.6,995.3,1.5,1.2,0.4,33,2
66,2016,1,3,18,5.7,2.4,3.0,1.7,83,10.0,995.4,1.5,1.2,0.4,10,1
67,2016,1,3,19,4.4,2.4,1.9,1.7,84,10.1,996.1,1.5,1.4,0.5,10,1
68,2016,1,3,20,3.6,2.4,1.4,1.7,86,10.3,996.3,1.5,1.4,0.5,0,0
69,2016,1,3,21,2.8,2.4,1.1,1.7,89,10.7,996.6,1.5,1.4,0.5,0,0
70,2016,1,3,22,2.5,2.4,1.2,1.7,91,10.9,996.7,1.5,1.4,0.5,0,0
71,2016,1,3,23,2.4,2.4,1.6,1.7,94,11.3,996.7,1.5,1.3,0.5,0,0
72,2016,1,4,0,2.6,2.4,2.0,1.7,96,11.5,996.8,1.5,1.2,0.4,0,0
73,2016,1,4,1,2.5,2.4,2.1,1.7,97,11.6,996.5,1.5,1.3,0.5,0,0
74,2016,1,4,2,1.8,2.4,1.6,1.7,99,11.9,996.8,1.5,1.5,0.6,0,0
75,2016,1,4,3,1.9,2.4,1.6,1.7,98,11.8,996.8,1.5,1.8,0.7,0,0
76,2016,1,4,4,1.7,2.4,1.1,1.7,96,11.5,996.9,1.5,2.0,0.7,0,0
77,2016,1,4,5,1.1,2.4,0.5,1.7,96,11.5,997.2,1.5,2.2,0.8,0,0
78,2016,1,4,6,1.3,2.4,0.5,1.7,94,11.3,997.7,1.5,2.3,0.9,0,0
79,2016,1,4,7,0.7,2.4,-0.2,1.7,94,11.3,998.4,1.5,2.2,0.8,10,1
80,2016,1,4,8,0.1,2.4,-1.1,1.7,92,11.0,999.0,1.5,2.2,0.8,7,1
81,2016,1,4,9,0.2,2.4,-1.8,1.7,86,10.3,999.7,1.5,2.2,0.8,147,10
82,2016,1,4,10,1.2,2.4,-3.6,1.7,70,8.4,1000.3,1.5,2.6,1.0,304,21
83,2016,1,4,11,2.3,2.4,-4.9,1.7,59,7.1,1000.4,1.5,2.8,1.0,319,22
84,2016,1,4,12,3.3,2.4,-5.8,1.7,51,6.1,1000.0,1.5,3.1,1.1,488,34
85,2016,1,4,13,4.0,2.4,-6.7,1.7,46,5.5,999.3,1.5,3.4,1.3,492,34
86,2016,1,4,14,4.3,2.4,-7.5,1.7,42,5.0,999.2,1.5,3.5,1.3,435,30
87,2016,1,4,15,4.3,2.4,-8.1,1.7,40,4.8,999.4,1.5,3.5,1.3,325,23
88,2016,1,4,16,3.9,2.4,-8.4,1.7,40,4.8,999.2,1.5,3.4,1.3,177,12
89,2016,1,4,17,2.9,2.4,-8.5,1.7,43,5.2,999.5,1.5,2.7,1.0,37,3
90,2016,1,4,18,1.5,2.4,-8.6,1.7,47,5.6,999.9,1.5,2.6,1.0,10,1
91,2016,1,4,19,0.4,2.4,-8.6,1.7,51,6.1,1000.5,1.5,2.5,0.9,10,1
