,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2017,1,1,0,-0.5,2.4,-5.4,1.7,72,8.6,963.9,1.5,1.5,0.6,0,0
1,2017,1,1,1,-0.5,2.4,-4.9,1.7,75,9.0,964.4,1.5,1.3,0.5,0,0
2,2017,1,1,2,-0.5,2.4,-4.4,1.7,78,9.4,964.9,1.5,1.1,0.4,0,0
3,2017,1,1,3,-0.6,2.4,-3.8,1.7,81,9.7,965.4,1.5,0.9,0.3,0,0
4,2017,1,1,4,-0.6,2.4,-3.3,1.7,84,10.1,965.8,1.5,0.7,0.3,0,0
5,2017,1,1,5,-0.7,2.4,-2.7,1.7,87,10.4,966.3,1.5,0.5,0.2,0,0
6,2017,1,1,6,-0.7,2.4,-2.2,1.7,90,10.8,966.8,1.5,0.3,0.1,0,0
7,2017,1,1,7,-1.1,2.4,-2.3,1.7,92,11.0,967.2,1.5,0.3,0.1,0,0
8,2017,1,1,8,-0.7,2.4,-2.3,1.7,89,10.7,967.7,1.5,0.4,0.1,0,0
9,2017,1,1,9,0.3,2.4,-1.7,1.7,86,10.3,968.3,1.5,0.3,0.1,65,5
10,2017,1,1,10,3.3,2.4,-0.6,1.7,76,9.1,968.8,1.5,0.8,0.3,118,8
11,2017,1,1,11,4.8,2.4,0.4,1.7,73,8.8,968.8,1.5,1.5,0.6,323,23
12,2017,1,1,12,5.6,2.4,0.7,1.7,71,8.5,968.3,1.5,2.1,0.8,507,35
13,2017,1,1,13,5.9,2.4,0.7,1.7,69,8.3,967.2,1.5,2.1,0.8,486,34
14,2017,1,1,14,6.2,2.4,0.9,1.7,69,8.3,966.4,1.5,2.0,0.7,452,32
15,2017,1,1,15,6.1,2.4,1.0,1.7,70,8.4,965.9,1.5,1.8,0.7,338,24
16,2017,1,1,16,6.1,2.4,-0.4,1.7,63,7.6,965.6,1.5,1.4,0.5,186,13
17,2017,1,1,17,4.8,2.4,0.5,1.7,74,8.9,965.4,1.5,1.0,0.4,41,3
18,2017,1,1,18,4.0,2.4,-0.5,1.7,72,8.6,965.1,1.5,0.6,0.2,10,1
19,2017,1,1,19,3.2,2.4,-0.6,1.7,76,9.1,964.8,1.5,0.6,0.2,10,1
20,2017,1,1,20,2.4,2.4,-0.8,1.7,79,9.5,964.5,1.5,0.6,0.2,0,0
21,2017,1,1,21,2.0,2.4,-0.9,1.7,81,9.7,964.5,1.5,0.3,0.1,0,0
22,2017,1,1,22,1.8,2.4,-1.0,1.7,82,9.8,964.6,1.5,0.7,0.3,0,0
23,2017,1,1,23,1.7,2.4,-1.0,1.7,82,9.8,964.2,1.5,0.7,0.3,0,0
24,2017,1,2,0,1.6,2.4,-0.9,1.7,83,10.0,963.9,1.5,0.6,0.2,0,0
25,2017,1,2,1,1.4,2.4,-1.0,1.7,84,10.1,963.2,1.5,0.7,0.3,0,0
26,2017,1,2,2,1.3,2.4,-1.0,1.7,85,10.2,962.8,1.5,0.6,0.2,0,0
27,2017,1,2,3,1.4,2.4,-0.9,1.7,85,10.2,962.8,1.5,0.4,0.1,0,0
28,2017,1,2,4,1.5,2.4,-0.9,1.7,84,10.1,962.4,1.5,0.2,0.1,0,0
29,2017,1,2,5,1.3,2.4,-0.9,1.7,85,10.2,962.3,1.5,0.1,0.0,0,0
30,2017,1,2,6,1.0,2.4,-1.0,1.7,86,10.3,961.8,1.5,0.1,0.0,0,0
31,2017,1,2,7,1.1,2.4,-1.0,1.7,86,10.3,962.2,1.5,0.1,0.0,10,1
32,2017,1,2,8,1.4,2.4,-1.0,1.7,84,10.1,962.3,1.5,0.4,0.1,27,2
33,2017,1,2,9,2.4,2.4,-0.2,1.7,83,10.0,962.6,1.5,0.3,0.1,152,11
34,2017,1,2,10,4.2,2.4,0.6,1.7,77,9.2,962.6,1.5,0.6,0.2,325,23
35,2017,1,2,11,5.9,2.4,0.9,1.7,70,8.4,962.5,1.5,0.9,0.3,108,8
36,2017,1,2,12,7.2,2.4,2.1,1.7,70,8.4,962.0,1.5,1.8,0.7,72,5
37,2017,1,2,13,8.0,2.4,2.6,1.7,69,8.3,961.1,1.5,3.2,1.2,87,6
38,2017,1,2,14,8.2,2.4,2.7,1.7,68,8.2,961.0,1.5,3.7,1.4,60,4
39,2017,1,2,15,7.8,2.4,2.7,1.7,70,8.4,960.8,1.5,3.4,1.3,23,2
40,2017,1,2,16,7.0,2.4,3.0,1.7,76,9.1,961.0,1.5,3.3,1.2,61,4
41,2017,1,2,17,6.0,2.4,3.5,1.7,84,10.1,961.1,1.5,2.3,0.9,21,1
42,2017,1,2,18,4.7,2.4,3.7,1.7,93,11.2,961.3,1.5,1.8,0.7,10,1
43,2017,1,2,19,3.7,2.4,3.4,1.7,98,11.8,961.2,1.5,1.7,0.6,10,1
44,2017,1,2,20,3.0,2.4,2.9,1.7,99,11.9,961.6,1.5,1.8,0.7,0,0
45,2017,1,2,21,2.6,2.4,2.5,1.7,99,11.9,961.8,1.5,1.8,0.7,0,0
46,2017,1,2,22,2.1,2.4,2.0,1.7,99,11.9,961.8,1.5,1.7,0.6,0,0
47,2017,1,2,23,1.5,2.4,1.5,1.7,100,12.0,961.7,1.5,1.7,0.6,0,0
48,2017,1,3,0,1.0,2.4,0.9,1.7,99,11.9,961.7,1.5,1.6,0.6,0,0
49,2017,1,3,1,0.4,2.4,0.3,1.7,99,11.9,961.9,1.5,1.6,0.6,0,0
50,2017,1,3,2,-0.1,2.4,-0.2,1.7,99,11.9,961.8,1.5,1.7,0.6,0,0
51,2017,1,3,3,-0.8,2.4,-0.9,1.7,99,11.9,962.0,1.5,1.6,0.6,0,0
52,2017,1,3,4,-0.7,2.4,-1.2,1.7,96,11.5,962.3,1.5,1.6,0.6,0,0
53,2017,1,3,5,-1.5,2.4,-2.2,1.7,95,11.4,962.3,1.5,1.5,0.6,0,0
54,2017,1,3,6,-2.4,2.4,-3.0,1.7,96,11.5,962.2,1.5,1.4,0.5,0,0
55,2017,1,3,7,-3.0,2.4,-3.7,1.7,95,11.4,962.3,1.5,1.3,0.5,10,1
56,2017,1,3,8,-3.5,2.4,-4.2,1.7,95,11.4,962.6,1.5,1.2,0.4,27,2
57,2017,1,3,9,-1.4,2.4,-2.5,1.7,92,11.0,963.0,1.5,0.9,0.3,172,12
58,2017,1,3,10,1.2,2.4,-2.0,1.7,79,9.5,963.5,1.5,1.3,0.5,330,23
59,2017,1,3,11,2.8,2.4,-3.1,1.7,65,7.8,963.6,1.5,1.6,0.6,452,32
60,2017,1,3,12,4.2,2.4,-4.0,1.7,55,6.6,963.2,1.5,1.7,0.6,520,36
61,2017,1,3,13,5.3,2.4,-4.5,1.7,49,5.9,962.3,1.5,1.9,0.7,525,37
