,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
0,2017,1,1,0,-7.5,2.4,-10.0,1.7,83,10.0,932.8,1.5,2.3,0.9,0,0
1,2017,1,1,1,-6.8,2.4,-9.0,1.7,85,10.2,934.1,1.5,2.3,0.9,0,0
2,2017,1,1,2,-6.1,2.4,-8.0,1.7,88,10.6,935.4,1.5,2.3,0.9,0,0
3,2017,1,1,3,-5.4,2.4,-6.9,1.7,90,10.8,936.7,1.5,2.3,0.9,0,0
4,2017,1,1,4,-4.8,2.4,-5.9,1.7,92,11.0,938.0,1.5,2.3,0.9,0,0
5,2017,1,1,5,-4.1,2.4,-4.8,1.7,95,11.4,939.3,1.5,2.3,0.9,0,0
6,2017,1,1,6,-3.4,2.4,-3.8,1.7,97,11.6,940.6,1.5,2.3,0.9,0,0
7,2017,1,1,7,-3.5,2.4,-3.9,1.7,97,11.6,940.8,1.5,2.3,0.9,0,0
8,2017,1,1,8,-3.6,2.4,-4.0,1.7,97,11.6,941.1,1.5,2.2,0.8,0,0
9,2017,1,1,9,-2.8,2.4,-3.3,1.7,96,11.5,941.4,1.5,2.4,0.9,148,10
10,2017,1,1,10,-1.0,2.4,-2.6,1.7,89,10.7,942.0,1.5,2.7,1.0,291,20
11,2017,1,1,11,0.6,2.4,-2.9,1.7,77,9.2,942.2,1.5,3.1,1.1,296,21
12,2017,1,1,12,1.6,2.4,-3.4,1.7,69,8.3,941.6,1.5,3.5,1.3,398,28
13,2017,1,1,13,2.4,2.4,-3.5,1.7,65,7.8,940.5,1.5,3.7,1.4,290,20
14,2017,1,1,14,2.8,2.4,-3.4,1.7,64,7.7,939.9,1.5,3.6,1.3,271,19
15,2017,1,1,15,2.8,2.4,-2.9,1.7,66,7.9,939.6,1.5,3.4,1.3,284,20
16,2017,1,1,16,2.3,2.4,-3.0,1.7,68,8.2,939.6,1.5,3.0,1.1,33,2
17,2017,1,1,17,1.0,2.4,-2.6,1.7,77,9.2,939.6,1.5,2.6,1.0,16,1
18,2017,1,1,18,-0.1,2.4,-2.4,1.7,84,10.1,939.4,1.5,2.5,0.9,10,1
19,2017,1,1,19,-0.3,2.4,-1.9,1.7,89,10.7,939.1,1.5,2.4,0.9,10,1
20,2017,1,1,20,-0.4,2.4,-1.6,1.7,92,11.0,938.9,1.5,2.3,0.9,0,0
21,2017,1,1,21,-0.3,2.4,-1.3,1.7,93,11.2,938.6,1.5,2.3,0.9,0,0
22,2017,1,1,22,-0.3,2.4,-1.1,1.7,94,11.3,938.4,1.5,2.3,0.9,0,0
23,2017,1,1,23,-0.3,2.4,-1.0,1.7,95,11.4,937.7,1.5,2.3,0.9,0,0
24,2017,1,2,0,-0.3,2.4,-1.0,1.7,95,11.4,937.3,1.5,2.4,0.9,0,0
25,2017,1,2,1,-0.2,2.4,-1.0,1.7,94,11.3,936.7,1.5,2.6,1.0,0,0
26,2017,1,2,2,-0.0,2.4,-0.9,1.7,94,11.3,936.4,1.5,2.8,1.0,0,0
27,2017,1,2,3,0.5,2.4,-0.6,1.7,92,11.0,936.2,1.5,2.9,1.1,0,0
28,2017,1,2,4,0.6,2.4,-0.6,1.7,92,11.0,936.0,1.5,2.7,1.0,0,0
