Province,Name,code,latitude,longitude,sidonm
Gangwon,Daegwallyeong,100,37.68,128.72,강원특별자치도
Gyeonggi,Suwon,119,37.27,126.99,경기도
Chungbuk,Chupungnyeong,135,36.22,127.99,충청북도
Gyeongbuk,Andong,136,36.57,128.71,경상북도
Jeonnam,Heuksando,169,34.69,125.45,전라남도
Jeju,Kosan,185,33.29,126.16,제주특별자치도
