Province,Name,Code,Lat,Lon
Gangwon,Daegwallyeong,100,37.68,128.72
Gyeonggi,Suwon,119,37.27,126.99
Chungbuk,Chupungnyeong,135,36.22,127.99
Gyeongbuk,Andong,136,36.57,128.71
Jeonnam,Heuksando,169,34.69,125.45
Jeju,Kosan,185,33.29,126.16
