index,longitude (º),latitude (º),address,지상,elev (m)
466,127.4065,36.535,충청북도 청주시 서원구 남이면 부용외천리,1,203.7
471,127.9065,36.535,경상북도 상주시 화북면 상오리,1,447.2
476,128.4066,36.535,경상북도 예천군 지보면 도화리,1,176.2
481,128.9066,36.535,경상북도 안동시 임동면 박곡리,1,157.3
486,129.4067,36.535,경상북도 영덕군 영해면 성내리,1,13.2
491,127.0064,36.435,충청남도 청양군 목면 본의리,1,114.3
496,127.5065,36.435,충청북도 청주시 상당구 문의면 후곡리,1,70
501,128.0065,36.435,경상북도 상주시 내서면 서원리,1,348.4
506,128.5066,36.435,경상북도 의성군 신평면 검곡리,1,301.4
511,129.0067,36.435,경상북도 청송군 파천면 덕천리,1,258.8
516,126.7064,36.335,충청남도 부여군 외산면 삼산리,1,315.2
521,127.2064,36.335,충청남도 계룡시 신도안면 부남리,1,659.7
526,127.7065,36.335,충청북도 옥천군 청성면 구음리,1,266.3
531,128.2066,36.335,경상북도 상주시 낙동면 비룡리,1,148
536,128.7066,36.335,경상북도 의성군 의성읍 도동리,1,85.8
541,129.2067,36.335,경상북도 청송군 주왕산면 내룡리,1,304.2
546,126.8064,36.235,충청남도 부여군 구룡면 동방리,1,18.2
551,127.3064,36.235,대전광역시 서구 평촌동,1,104.6
556,127.8065,36.235,충청북도 영동군 용산면 율리,1,147.5
561,128.3066,36.235,경상북도 구미시 선산읍 동부리,1,35.3
566,128.8066,36.235,경상북도 의성군 춘산면 금천리,1,175.3
571,129.3067,36.235,경상북도 포항시 북구 청하면 청계리,1,195.8
576,126.9064,36.135,전라북도 익산시 웅포면 대붕암리,1,22.1
581,127.4065,36.135,충청남도 금산군 진산면 엄정리,1,288.9
586,127.9065,36.135,충청북도 영동군 상촌면 유곡리,1,273.8
591,128.4066,36.135,경상북도 구미시 거의동,1,31.7
596,128.9066,36.135,경상북도 영천시 화북면 죽전리,1,630.1
601,126.7064,36.035,충청남도 서천군 마서면 덕암리,1,19.6
606,127.2064,36.035,전라북도 완주군 화산면 화평리,1,88.2
611,127.7065,36.035,충청북도 영동군 용화면 여의리,1,226.3
616,128.2066,36.035,경상북도 성주군 초전면 월곡리,1,374
621,128.7066,36.035,경상북도 영천시 신녕면 치산리,1,762.9
626,129.2067,36.035,경상북도 경주시 안강읍 육통리,1,114.9
631,126.8064,35.935,전라북도 군산시 대야면 지경리,1,3
636,127.3064,35.935,전라북도 완주군 동상면 신월리,1,259.5
641,127.8065,35.935,전라북도 무주군 설천면 두길리,1,795.6
646,128.3066,35.935,경상북도 성주군 성주읍 삼산리,1,41
651,128.8066,35.935,경상북도 경산시 하양읍 교리,1,163.9
656,129.3067,35.935,경상북도 경주시 강동면 왕신리,1,165.9
661,127.1064,35.835,전라북도 전주시 완산구 서신동,1,21.6
666,127.6065,35.835,전라북도 진안군 동향면 학선리,1,606.3
671,128.1066,35.835,경상북도 성주군 가천면 신계리,1,780.6
676,128.6066,35.835,대구광역시 수성구 상동,1,63
681,129.1067,35.835,경상북도 경주시 건천읍 금척리,1,75.9
686,126.6064,35.735,전라북도 부안군 하서면 장신리,1,0
691,127.1064,35.735,전라북도 완주군 구이면 원기리,1,177.1
696,127.6065,35.735,전라북도 장수군 장계면 월강리,1,415.6
701,128.1066,35.735,경상남도 합천군 가야면 구미리,1,213
706,128.6066,35.735,경상북도 청도군 각북면 지슬리,1,551.9
711,129.1067,35.735,경상북도 경주시 내남면 박달리,1,244.1
716,126.6064,35.635,전라북도 부안군 상서면 청림리,1,242.7
721,127.1064,35.635,전라북도 완주군 구이면 백여리,1,195.4
726,127.6065,35.635,전라북도 장수군 번암면 지지리,1,1042.4
731,128.1066,35.635,경상남도 합천군 묘산면 봉곡리,1,388.3
736,128.6066,35.635,경상북도 청도군 풍각면 봉기리,1,100.5
741,129.1067,35.635,울산광역시 울주군 두서면 차리,1,445
746,126.6064,35.535,전라북도 고창군 부안면 선운리,1,20.5
751,127.1064,35.535,전라북도 정읍시 산내면 종성리,1,504.4
756,127.6065,35.535,전라북도 남원시 아영면 일대리,1,568.3
761,128.1066,35.535,경상남도 합천군 용주면 고품리,1,45.4
766,128.6066,35.535,경상남도 밀양시 청도면 구기리,1,239.1
771,129.1067,35.535,울산광역시 울주군 삼남읍 가천리,1,119.4
776,126.5063,35.435,전라북도 고창군 상하면 하장리,1,165.8
781,127.0064,35.435,전라남도 담양군 용면 용치리,1,266.3
786,127.5065,35.435,전라북도 남원시 운봉읍 준향리,1,529.3
791,128.0065,35.435,경상남도 산청군 신등면 평지리,1,241.3
796,128.5066,35.435,경상남도 창녕군 영산면 신제리,1,8.2
801,129.0067,35.435,경상남도 양산시 상북면 내석리,1,575.2
806,126.6064,35.335,전라북도 고창군 대산면 상금리,1,61
811,127.1064,35.335,전라북도 순창군 금과면 수양리,1,116.3
816,127.6065,35.335,전라북도 남원시 산내면 부운리,1,1336.4
821,128.1066,35.335,경상남도 산청군 생비량면 화현리,1,148.2
826,128.6066,35.335,경상남도 창원시 의창구 북면 신촌리,1,68
831,129.1067,35.335,경상남도 양산시 동면 법기리,1,353.5
836,126.6064,35.235,전라남도 장성군 삼서면 대도리,1,73.3
841,127.1064,35.235,전라남도 곡성군 오산면 청단리,1,263.6
846,127.6065,35.235,전라남도 구례군 토지면 외곡리,1,542.8
851,128.1066,35.235,경상남도 진주시 집현면 장흥리,1,19.1
856,128.6066,35.235,경상남도 창원시 마산회원구 봉암동,1,123.4
861,129.1067,35.235,부산광역시 금정구 오륜동,1,158.8
866,126.8064,35.135,광주광역시 광산구 송정동,1,14.1
871,127.3064,35.135,전라남도 곡성군 죽곡면 연화리,1,52.2
876,127.8065,35.135,경상남도 하동군 청암면 명호리,1,156.5
881,128.3066,35.135,경상남도 진주시 이반성면 대천리,1,158.1
886,128.9066,35.135,부산광역시 강서구 강동동,1,0
891,126.6064,35.035,전라남도 나주시 문평면 산호리,1,20.6
896,127.1064,35.035,전라남도 화순군 사평면 장전리,1,221.5
901,127.6065,35.035,전라남도 광양시 옥룡면 추산리,1,77.3
906,128.2066,35.035,경상남도 고성군 영현면 영부리,1,117.8
911,126.5063,34.935,전라남도 무안군 몽탄면 구산리,1,4
916,127.0064,34.935,전라남도 화순군 이양면 강성리,1,197
921,127.5065,34.935,전라남도 순천시 풍덕동,1,2.8
926,126.4063,34.835,전라남도 목포시 대양동,1,35.7
931,126.9064,34.835,전라남도 장흥군 장평면 병동리,1,247.5
936,127.6065,34.835,전라남도 여수시 율촌면 신풍리,1,88.5
941,128.7066,34.835,경상남도 거제시 일운면 지세포리,1,0
946,126.9064,34.735,전라남도 장흥군 부산면 금자리,1,35.6
951,127.8065,34.735,전라남도 여수시 돌산읍 우두리,1,-11.5
956,126.7064,34.635,전라남도 강진군 강진읍 춘전리,1,274.2
961,127.5065,34.635,전라남도 여수시 화정면 적금리,1,0
966,126.5063,34.535,전라남도 해남군 해남읍 내사리,1,2.4
971,126.1063,34.435,전라남도 진도군 지산면 가학리,1,66.3
976,126.5063,33.535,제주특별자치도 제주시 용담삼동,1,-16.8
981,126.3063,33.435,제주특별자치도 제주시 애월읍 금성리,1,48.5
986,126.8064,33.435,제주특별자치도 서귀포시 표선면 성읍리,1,297.8
991,126.6064,33.335,제주특별자치도 서귀포시 남원읍 하례리,1,550.5
